polygon,probability,port,wkt,closest_terminal,distance_to_closest_terminal,geometry,port_code,distance_to_nearest_container,terminal_name,latitude_custom,longitude_custom,geometry_costums_office,terminal,country,closet_terminal_general,center_point,center_lat,center_lon,numero_polygone,adresse_google,color,name_zone,on_water
"[(53.62357271654905, 9.508623527978054), (53.62363277749803, 9.50823868330649), (53.62397763782411, 9.50875604664795), (53.62391757687513, 9.509140891319515)]",0.9641338,DEHAM-RMH,"POLYGON ((9.508623527978054 53.62357271654905,9.50823868330649 53.62363277749803,9.50875604664795 53.62397763782411,9.509140891319515 53.62391757687513,9.508623527978054 53.62357271654905))",DEHAM-RMH-OFFR,27.948739022035657,"POLYGON ((9.508623527978054 53.62357271654905, 9.50823868330649 53.62363277749803, 9.50875604664795 53.62397763782411, 9.509140891319515 53.62391757687513, 9.508623527978054 53.62357271654905))",DEHAM,,,,,,,DE,DEHAM-RMH,POINT (9.508689787313005 53.62377517718658),53.62377517718658,9.508689787313005,0,"Brunshausen 18B, 21683 Stade, Germany","{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.62321351750004, 9.507883076077634), (53.62323179302549, 9.50740144816174), (53.62348029622764, 9.50749209150526), (53.623462020702185, 9.507973719421154)]",0.96741307,DEHAM-RMH,"POLYGON ((9.507883076077634 53.62321351750004,9.50740144816174 53.62323179302549,9.50749209150526 53.62348029622764,9.507973719421154 53.623462020702185,9.507883076077634 53.62321351750004))",DEHAM-RMH-OFFR,27.99182767911772,"POLYGON ((9.507883076077634 53.62321351750004, 9.50740144816174 53.62323179302549, 9.50749209150526 53.62348029622764, 9.507973719421154 53.623462020702185, 9.507883076077634 53.62321351750004))",DEHAM,,,,,,,DE,DEHAM-RMH,POINT (9.507687583791446 53.62334690686384),53.62334690686384,9.507687583791446,1,"Brunshausen 26, 21683 Stade, Germany","{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.62179329110368, 9.522716114009697), (53.6218903185713, 9.52266597609127), (53.621898301843956, 9.522814485874967), (53.62180127437633, 9.522864623793394)]",0.90233696,DEHAM-RMH,"POLYGON ((9.522716114009697 53.62179329110368,9.52266597609127 53.6218903185713,9.522814485874967 53.621898301843956,9.522864623793394 53.62180127437633,9.522716114009697 53.62179329110368))",DEHAM-RMH-OFFR,27.00911522176677,"POLYGON ((9.522716114009697 53.62179329110368, 9.52266597609127 53.6218903185713, 9.522814485874967 53.621898301843956, 9.522864623793394 53.62180127437633, 9.522716114009697 53.62179329110368))",DEHAM,,,,,,,DE,DEHAM-RMH,POINT (9.522765299942332 53.62184579647381),53.62184579647381,9.522765299942332,2,"JGCF+P4 Stade, Germany","{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.50360545012571, 9.931626863009285), (53.50387544618077, 9.931527532417872), (53.50389178814786, 9.931951749845538), (53.5036217920928, 9.93205108043695)]",0.982593,DEHAM-CTA,"POLYGON ((9.931626863009285 53.50360545012571,9.931527532417872 53.50387544618077,9.931951749845538 53.50389178814786,9.93205108043695 53.5036217920928,9.931626863009285 53.50360545012571))",DEHAM-CTA-OFFR,0.4445499574373389,"POLYGON ((9.931626863009285 53.50360545012571, 9.931527532417872 53.50387544618077, 9.931951749845538 53.50389178814786, 9.93205108043695 53.5036217920928, 9.931626863009285 53.50360545012571))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.931789306427412 53.50374861913679),53.50374861913679,9.931789306427412,3,9F5FGW3J+FP,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.50423598678909, 9.931589314262272), (53.50445333450913, 9.931555730450912), (53.50445669799826, 9.931763616292809), (53.50423935027822, 9.93179720010417)]",0.97482985,DEHAM-CTA,"POLYGON ((9.931589314262272 53.50423598678909,9.931555730450912 53.50445333450913,9.931763616292809 53.50445669799826,9.93179720010417 53.50423935027822,9.931589314262272 53.50423598678909))",DEHAM-CTA-OFFR,0.4997275770021369,"POLYGON ((9.931589314262272 53.50423598678909, 9.931555730450912 53.50445333450913, 9.931763616292809 53.50445669799826, 9.93179720010417 53.50423935027822, 9.931589314262272 53.50423598678909))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.93167646527754 53.504346342393674),53.504346342393674,9.93167646527754,4,9F5FGW3J+PM,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.50362602040423, 9.932247726787166), (53.50384258173104, 9.932247726787166), (53.50384258173104, 9.932388620684518), (53.50362602040423, 9.932388620684518)]",0.9746894,DEHAM-CTA,"POLYGON ((9.932247726787166 53.50362602040423,9.932247726787166 53.50384258173104,9.932388620684518 53.50384258173104,9.932388620684518 53.50362602040423,9.932247726787166 53.50362602040423))",DEHAM-CTA-OFFR,0.4201634960164123,"POLYGON ((9.932247726787166 53.50362602040423, 9.932247726787166 53.50384258173104, 9.932388620684518 53.50384258173104, 9.932388620684518 53.50362602040423, 9.932247726787166 53.50362602040423))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.932318173735842 53.50373430106764),53.50373430106764,9.932318173735842,5,9F5FGW3J+FW,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.49920678576937, 9.932370622099944), (53.49931035132103, 9.931918784329703), (53.49939352352029, 9.932100846935214), (53.49928995796862, 9.932552684705454)]",0.97239125,DEHAM-CTA,"POLYGON ((9.932370622099944 53.49920678576937,9.931918784329703 53.49931035132103,9.932100846935214 53.49939352352029,9.932552684705454 53.49928995796862,9.932370622099944 53.49920678576937))",DEHAM-CTA-OFFR,0.3232976383834889,"POLYGON ((9.932370622099944 53.49920678576937, 9.931918784329703 53.49931035132103, 9.932100846935214 53.49939352352029, 9.932552684705454 53.49928995796862, 9.932370622099944 53.49920678576937))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.932235734517578 53.499300154644835),53.499300154644835,9.932235734517578,6,9F5FFWXJ+PV,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.500161039175275, 9.927762604388086), (53.50025602221335, 9.927762604388086), (53.50025602221335, 9.927915239443552), (53.500161039175275, 9.927915239443552)]",0.9604982,DEHAM-CTA,"POLYGON ((9.927762604388086 53.500161039175275,9.927762604388086 53.50025602221335,9.927915239443552 53.50025602221335,9.927915239443552 53.500161039175275,9.927762604388086 53.500161039175275))",DEHAM-CTA-OFFR,0.5697512824339898,"POLYGON ((9.927762604388086 53.500161039175275, 9.927762604388086 53.50025602221335, 9.927915239443552 53.50025602221335, 9.927915239443552 53.500161039175275, 9.927762604388086 53.500161039175275))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.927838921915818 53.500208530694294),53.500208530694294,9.927838921915818,7,9F5FGW2H+34,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.497833396018706, 9.927861368247504), (53.498093537798276, 9.927660387246869), (53.49815678532716, 9.928442210245906), (53.49789664354759, 9.928643191246543)]",0.9773186,DEHAM-CTA,"POLYGON ((9.927861368247504 53.497833396018706,9.927660387246869 53.498093537798276,9.928442210245906 53.49815678532716,9.928643191246543 53.49789664354759,9.927861368247504 53.497833396018706))",DEHAM-CTA-OFFR,0.629628408942204,"POLYGON ((9.927861368247504 53.497833396018706, 9.927660387246869 53.498093537798276, 9.928442210245906 53.49815678532716, 9.928643191246543 53.49789664354759, 9.927861368247504 53.497833396018706))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.928151789246705 53.49799509067294),53.49799509067294,9.928151789246705,8,9F5FFWXH+57,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.498728694961116, 9.932001162466797), (53.49900224611077, 9.932001162466797), (53.49900224611077, 9.932388620684518), (53.498728694961116, 9.932388620684518)]",0.984676,DEHAM-CTA,"POLYGON ((9.932001162466797 53.498728694961116,9.932001162466797 53.49900224611077,9.932388620684518 53.49900224611077,9.932388620684518 53.498728694961116,9.932001162466797 53.498728694961116))",DEHAM-CTA-OFFR,0.3533131994836451,"POLYGON ((9.932001162466797 53.498728694961116, 9.932001162466797 53.49900224611077, 9.932388620684518 53.49900224611077, 9.932388620684518 53.498728694961116, 9.932001162466797 53.498728694961116))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.932194891575659 53.49886547053594),53.49886547053594,9.932194891575659,9,9F5FFWXJ+GV,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
